

[Continue Epoch 4 | Step 4100] Loss: 0.8892
[Continue Epoch 4 | Step 4150] Loss: 1.1053
[Continue Epoch 4 | Step 4200] Loss: 0.9486
[Continue Epoch 4 | Step 4250] Loss: 1.0616
[Continue Epoch 4 | Step 4300] Loss: 1.0054
[Continue Epoch 4 | Step 4350] Loss: 1.0840
[Continue Epoch 4 | Step 4400] Loss: 1.0005
[Continue Epoch 4 | Step 4450] Loss: 0.8790
[Continue Epoch 4 | Step 4500] Loss: 1.0339
[Continue Epoch 4 | Step 4550] Loss: 0.9373
[Continue Epoch 4 | Step 4600] Loss: 1.0201
[Continue Epoch 4 | Step 4650] Loss: 0.9858
[Continue Epoch 4 | Step 4700] Loss: 1.1461
[Continue Epoch 4 | Step 4750] Loss: 1.0626
[Continue Epoch 4 | Step 4800] Loss: 1.0851
[Continue Epoch 4 | Step 4850] Loss: 0.8177
[Continue Epoch 4 | Step 4900] Loss: 1.0389
[Continue Epoch 4 | Step 4950] Loss: 1.1256

Continue Epoch 4 Completed | Avg Loss: 1.0176
Best model updated
[Continue Epoch 5 | Step 0] Loss: 0.9611
[Continue Epoch 5 | Step 50] Loss: 0.8491
[Continue Epoch 5 | Step 100] Loss: 1.1232
[Continue Epoch 5 | Step 150] Loss: 0.9711
[Continue Epoch 5 | Step 200] Loss: 0.9110
[Continue Epoch 5 | Step 250] Loss: 0.9534
[Continue Epoch 5 | Step 300] Loss: 0.9799
[Continue Epoch 5 | Step 350] Loss: 1.1183
[Continue Epoch 5 | Step 400] Loss: 0.9233
[Continue Epoch 5 | Step 450] Loss: 1.0261
[Continue Epoch 5 | Step 500] Loss: 0.9307
[Continue Epoch 5 | Step 550] Loss: 1.0097
[Continue Epoch 5 | Step 600] Loss: 0.9436
[Continue Epoch 5 | Step 650] Loss: 0.9681
[Continue Epoch 5 | Step 700] Loss: 1.0061
[Continue Epoch 5 | Step 750] Loss: 1.1184
[Continue Epoch 5 | Step 800] Loss: 0.8136
[Continue Epoch 5 | Step 850] Loss: 1.1448
[Continue Epoch 5 | Step 900] Loss: 1.0928
[Continue Epoch 5 | Step 950] Loss: 1.0747
[Continue Epoch 5 | Step 1000] Loss: 0.9955
[Continue Epoch 5 | Step 1050] Loss: 0.9400
[Continue Epoch 5 | Step 1100] Loss: 0.9119
[Continue Epoch 5 | Step 1150] Loss: 0.8988
[Continue Epoch 5 | Step 1200] Loss: 0.9442
[Continue Epoch 5 | Step 1250] Loss: 0.9701
[Continue Epoch 5 | Step 1300] Loss: 1.0148
[Continue Epoch 5 | Step 1350] Loss: 0.8943
[Continue Epoch 5 | Step 1400] Loss: 1.0500
[Continue Epoch 5 | Step 1450] Loss: 1.0740
[Continue Epoch 5 | Step 1500] Loss: 0.9921
[Continue Epoch 5 | Step 1550] Loss: 1.0275
[Continue Epoch 5 | Step 1600] Loss: 1.0199
[Continue Epoch 5 | Step 1650] Loss: 0.9736
[Continue Epoch 5 | Step 1700] Loss: 0.9012
[Continue Epoch 5 | Step 1750] Loss: 1.0853
[Continue Epoch 5 | Step 1800] Loss: 0.9252
[Continue Epoch 5 | Step 1850] Loss: 1.0251
[Continue Epoch 5 | Step 1900] Loss: 0.9773
[Continue Epoch 5 | Step 1950] Loss: 0.9878
[Continue Epoch 5 | Step 2000] Loss: 1.0108
[Continue Epoch 5 | Step 2050] Loss: 0.9400
[Continue Epoch 5 | Step 2100] Loss: 0.9666
[Continue Epoch 5 | Step 2150] Loss: 1.0116
[Continue Epoch 5 | Step 2200] Loss: 1.1254
